CATEGORÍA;NOMBRE;POD;DEFINICION;CIUDAD;WEB;LINKEDIN;PERSONAS_CLAVE
boutique;Jauregui & Gallastegi;Executive Search puro y local;Consultora vasca de nicho, altamente especializada en búsqueda directa de altos directivos (C-Level). Su gran valor es la extrema discreción y una agenda de contactos de altísimo nivel en la industria tradicional vasca.;Bilbao;https://www.jauregui-gallastegui.com/;;Imanol Gallastegui
boutique;Batea;Artesanía en RRHH y encaje cultural;"Más que cazatalentos, son arquitectos de equipos. Se diferencian por un enfoque muy humanista; evalúan rigurosamente el encaje cultural y de valores del candidato con la empresa, principalmente guipuzcoana.";Donostia;https://www.batea.com/;https://www.linkedin.com/company/batea/;Iñigo Calvo Cia
boutique;Campo & Ochandiano;La histórica de Bizkaia;"Consultora local de enorme prestigio y tradición. Su diferenciación es su profundo arraigo; manejan gran volumen de ofertas clave (muchas veces ocultas) para industria, fundaciones, cooperativas y entidades públicas vascas.";Bilbao;https://www.campo-ochandiano.com/Inicio;https://www.linkedin.com/company/campo-&-ochandiano/;Nerea Campo | Iñigo Ochandiano
boutique;Ad hoc Executive search;"Búsqueda directa ""artesanal"" en Gipuzkoa:";"Boutique especializada en directivos y perfiles muy complejos. Su valor es la metodología de ""headhunting puro"" (rastreo y contacto directo, sin publicar anuncios) apoyada en su red confidencial de contactos.";Donostia;https://www.adhocexecutive.com/;https://www.linkedin.com/company/adhoc-executive-search/;Francisco Manzano | Oscar Mambrillas
boutique;claire joster;Boutique multinacional centrada en valores;"Perteneciente a Eurofirms Group. Aportan la infraestructura de una gran firma, pero se diferencian por aplicar una metodología de ""selección por valores"", buscando un trato más cálido y humano.";Bilbao;https://www.clairejoster.com/es/es/;https://www.linkedin.com/company/claire-joster/;Leire Aranzasti | Patricia Buendia
boutique;impronta consulting;Desarrollo organizativo y talento directivo;Boutique que combina la búsqueda de talento con el coaching y la consultoría de RRHH. Buscan líderes y mandos con capacidad de impulsar cambios y modernización en las organizaciones.;Bilbao;https://improntaconsulting.es/wordpress/inicio/;https://www.linkedin.com/company/impronta-consulting/;David Martinez Rodriguez
globales/nacionales;Robert Walters;"Especialización sectorial ""Mid to Senior""";Multinacional británica donde los consultores han trabajado previamente en el sector para el que reclutan. Tienen mucho músculo en posiciones financieras, de ingeniería y operaciones.;Bilbao;https://www.robertwalters.es/;https://www.linkedin.com/company/robert-walters/posts/?feedView=all;Arkaitz Vega
globales/nacionales;Hays;Volumen cualificado y rapidez;Líder global con una inmensa base de datos. Combinan alto volumen con divisiones técnicas fuertes (Hays Engineering, IT). Si hay movimiento de mercado en perfiles técnicos y medios, ellos suelen tener la vacante.;Bilbao;https://www.hays.es/;https://www.linkedin.com/company/hays/;Claudia Martín Rojas
globales/nacionales;LHH;Transición de carrera (Grupo Adecco);Su gran diferenciador es que, además de selección directiva, son los líderes absolutos en outplacement (recolocación de directivos que salen de empresas) y programas de desarrollo de liderazgo.;Bilbao;https://www.lhh.com/es-es;https://www.linkedin.com/company/lhhworldwide/;
globales/nacionales;Michael Page;Dinamismo y alcance global;Se diferencian por su agresividad comercial, fuerte visibilidad y rapidez presentando candidatos. Gran puerta de entrada al mercado oculto para mandos intermedios en múltiples sectores.;Bilbao;https://www.michaelpage.es/;https://www.linkedin.com/company/michael-page/posts/?feedView=all;Sheila Anchia
